,accel [g],aerodrag,gap [m],lift per assy [N],position [m],time [s],velocity [m/s]
46,-1.51548657139,736.516288617,0.0025,10078.8704923,67.4305110132,0.46,143.172440106
47,-1.51560516938,734.987376756,0.0025,10076.8818328,68.8614920196,0.47,143.023759239
48,-1.51572428273,733.459933483,0.0025,10074.8930171,70.290986159,0.48,142.875066686
49,-1.5158439116,731.933958655,0.0025,10072.9040443,71.7189933143,0.49,142.726362399
50,-1.51596405615,730.409452128,0.0025,10070.914914,73.1455133677,0.5,142.577646325
51,-1.51608471655,728.886413764,0.0025,10068.9256253,74.5705462013,0.51,142.428918414
52,-1.51620589295,727.364843423,0.0025,10066.9361776,75.9940916964,0.52,142.280178616
53,-1.51632758551,725.844740971,0.0025,10064.9465703,77.4161497338,0.53,142.13142688
54,-1.51644979441,724.326106272,0.0025,10062.9568026,78.836720194,0.54,141.982663155
55,-1.5165725198,722.808939196,0.0025,10060.9668739,80.2558029568,0.55,141.833887391
56,-1.51669576185,721.293239612,0.0025,10058.9767834,81.6733979015,0.56,141.685099537
57,-1.51681952072,719.779007392,0.0025,10056.9865306,83.0895049071,0.57,141.536299542
58,-1.51694379659,718.26624241,0.0025,10054.9961147,84.5041238517,0.58,141.387487355
59,-1.51706858961,716.754944543,0.0025,10053.005535,85.9172546133,0.59,141.238662926
60,-1.51719389996,715.245113669,0.0025,10051.014791,87.3288970693,0.6,141.089826205
61,-1.5173197278,713.736749668,0.0025,10049.0238818,88.7390510963,0.61,140.94097714
62,-1.51744607331,712.229852423,0.0025,10047.0328069,90.1477165707,0.62,140.79211568
63,-1.51757293665,710.724421818,0.0025,10045.0415655,91.5548933684,0.63,140.643241775
64,-1.51770031799,709.220457738,0.0025,10043.0501569,92.9605813646,0.64,140.494355374
65,-1.51782821751,707.717960074,0.0025,10041.0585806,94.3647804341,0.65,140.345456425
66,-1.51795663537,706.216928714,0.0025,10039.0668357,95.7674904511,0.66,140.196544879
67,-1.51808557175,704.717363552,0.0025,10037.0749217,97.1687112895,0.67,140.047620685
68,-1.51821502683,703.219264483,0.0025,10035.0828378,98.5684428225,0.68,139.898683791
69,-1.51834500077,701.722631402,0.0025,10033.0905833,99.9666849228,0.69,139.749734146
70,-1.51847549375,700.227464208,0.0025,10031.0981576,101.363437463,0.7,139.6007717
71,-1.51860650595,698.733762802,0.0025,10029.1055601,102.758700314,0.71,139.451796402
72,-1.51873803755,697.241527087,0.0025,10027.1127899,104.152473348,0.72,139.302808201
73,-1.51887008871,695.750756968,0.0025,10025.1198465,105.544756435,0.73,139.153807045
74,-1.51900265963,694.261452351,0.0025,10023.1267291,106.935549445,0.74,139.004792884
75,-1.51913575047,692.773613145,0.0025,10021.1334371,108.324852249,0.75,138.855765667
76,-1.51926936141,691.287239261,0.0025,10019.1399698,109.712664715,0.76,138.706725342
77,-1.51940349264,689.802330612,0.0025,10017.1463265,111.098986712,0.77,138.55767186
78,-1.51953814434,688.318887113,0.0025,10015.1525065,112.483818108,0.78,138.408605168
79,-1.51967331669,686.836908681,0.0025,10013.1585091,113.867158771,0.79,138.259525215
80,-1.51980900986,685.356395235,0.0025,10011.1643337,115.249008568,0.8,138.110431952
81,-1.51994522405,683.877346697,0.0025,10009.1699796,116.629367366,0.81,137.961325325
82,-1.52008195944,682.399762989,0.0025,10007.175446,118.00823503,0.82,137.812205285
83,-1.5202192162,680.923644036,0.0025,10005.1807324,119.385611426,0.83,137.66307178
84,-1.52035699453,679.448989767,0.0025,10003.1858379,120.76149642,0.84,137.513924759
85,-1.52049529461,677.97580011,0.0025,10001.190762,122.135889876,0.85,137.36476417
