TRACK_INDEX_U8,TRACK_HUMAN,ACCEL_THRESH_MM_SS_S32,ACCEL_THRESH_TIME_X10MS_U16,DECEL_THRESH_MM_SS_S32,DECEL_THRESH_TIME_X10MS_U16,TIME_ACCEL_COAST_X10MS_U32,TIME_COAST_BRAKE_X10MS_U32,TIME_BRAKE_SPINDOWN_X10MS_U32,TIME_SPINDOWN_IDLE_X10MS_U32
0,0.2 EXT TRACK,50,20,0,20,300,100,100,100
1,NO NAME ASSIGNED,0,0,0,0,0,0,0,0
2,NO NAME ASSIGNED,0,0,0,0,0,0,0,0
3,NO NAME ASSIGNED,0,0,0,0,0,0,0,0
4,NO NAME ASSIGNED,0,0,0,0,0,0,0,0
5,NO NAME ASSIGNED,0,0,0,0,0,0,0,0
6,NO NAME ASSIGNED,0,0,0,0,0,0,0,0
7,NO NAME ASSIGNED,0,0,0,0,0,0,0,0
