TRACK_INDEX,TRACK_HUMAN_NAME,LAST_EDIT_TIME,TRACK_START_XPOS_MM,TRACK_END_XPOS_MM,LRF_START_POS_MM,NUM_STRIPES,SPARE_00,SPARE_01,SPARE_02,SPARE_03,SPARE_04,SPARE_05,SPARE_06,SPARE_07,SPARE_08,SPARE_09,SPARE_10,SPARE_11,SPARE_12,SPARE_13,SPARE_14,SPARE_15,SPARE_16,SPARE_17,SPARE_18,SPARE_19,SPARE_20,SPARE_21,SPARE_22,SPARE_23,SPARE_24,SPARE_25,SPARE_26,SPARE_27,SPARE_28,SPARE_29
0,N/A,21/01/2017 12:32:53 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,N/A,21/01/2017 12:32:53 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,N/A,21/01/2017 12:32:53 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,N/A,21/01/2017 12:32:53 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,N/A,21/01/2017 12:32:53 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,N/A,21/01/2017 12:32:53 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,N/A,21/01/2017 12:32:53 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,N/A,21/01/2017 12:32:53 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
