sep=;
Time (s);C=>6 R=>software revision level/none;C=>6 R=>faults/none;C=>6 R=>controller temperature/deg C;C=>6 R=>vehicle speed/km/hr;C=>6 R=>motor temperature/deg C;C=>6 R=>motor current/Amps;C=>6 R=>motor rpm/RPM;C=>6 R=>motor speed/% of rated rpm;C=>6 R=>battery voltage/Volts;C=>6 R=>battery current/Amps;C=>6 R=>battery state of charge/%;C=>6 R=>battery power/Watts;C=>6 R=>faults2/none;C=>6 R=>motor input power/W;C=>6 R=>last fault2/none;C=>6 R=>user access level/none
0.02012;5.838;0;31;1.8515625;0;32.375;194;10.44921875;71.40625;2.28125;100;167;0;160;0;0
0.2501249;5.838;0;31;1.86328125;0;32.375;194;10.44921875;71.40625;2.28125;100;167;0;160;0;0
0.3601145;5.838;0;31;1.86328125;0;32.375;193;10.44921875;71.40625;2.28125;100;167;0;155;0;0
0.4799444;5.838;0;31;1.87890625;0;32.40625;193;10.4736328125;71.40625;2.28125;100;164;0;155;0;0
0.5801459;5.838;0;31;1.86328125;0;32.40625;194;10.4736328125;71.40625;2.28125;100;164;0;155;0;0
0.6999572;5.838;0;31;1.8515625;0;32.40625;194;10.4736328125;71.40625;2.3125;100;164;0;155;0;0
0.8101219;5.838;0;31;1.87109375;0;32.40625;194;10.4736328125;71.40625;2.3125;100;164;0;155;0;0
0.9301874;5.838;0;31;1.86328125;0;32.40625;192;10.4736328125;71.40625;2.3125;100;164;0;155;0;0
1.0399466;5.838;0;31;1.86328125;0;32.40625;194;10.4736328125;71.40625;2.3125;100;164;0;160;0;0
1.1501258;5.838;0;31;1.8671875;0;32.40625;194;10.4736328125;71.40625;2.3125;100;167;0;160;0;0
1.2599765;5.838;0;31;1.8671875;0;32.46875;194;10.44921875;71.40625;2.3125;100;167;0;160;0;0
1.370132;5.838;0;31;1.8671875;0;32.46875;193;10.44921875;71.40625;2.28125;100;167;0;160;0;0
1.4799455;5.838;0;32;1.86328125;0;32.46875;193;10.44921875;71.40625;2.28125;100;167;0;160;0;0
1.5799982;5.838;0;32;1.86328125;0;32.46875;192;10.44921875;71.40625;2.28125;100;167;0;160;0;0
1.7001304;5.838;0;32;1.8671875;0;32.46875;193;10.44921875;71.40625;2.28125;100;167;0;160;0;0
1.8099571;5.838;0;32;1.85546875;0;32.46875;194;10.44921875;71.40625;2.28125;100;167;0;160;0;0
1.9201487;5.838;0;32;1.85546875;0;32.46875;194;10.44921875;71.40625;2.28125;100;164;0;155;0;0
2.0299852;5.838;0;32;1.85546875;0;32.4375;195;10.4736328125;71.40625;2.28125;100;164;0;155;0;0
2.1401458;5.838;0;32;1.87890625;0;32.4375;195;10.4736328125;71.40625;2.28125;100;164;0;155;0;0
2.2501241;5.838;0;32;1.87109375;0;32.4375;194;10.4736328125;71.40625;2.28125;100;164;0;155;0;0
2.3599985;5.838;0;32;1.87109375;0;32.4375;194;10.4736328125;71.40625;2.28125;100;164;0;155;0;0
2.479998;5.838;0;32;1.8671875;0;32.4375;193;10.4736328125;71.40625;2.28125;100;164;0;155;0;0
2.5899924;5.838;0;32;1.875;0;32.4375;195;10.4736328125;71.40625;2.28125;100;164;0;155;0;0
2.6999806;5.838;0;32;1.8671875;0;32.4375;195;10.4736328125;71.40625;2.28125;100;167;0;155;0;0
2.8099476;5.838;0;32;1.8671875;0;32.3125;194;10.400390625;71.40625;2.28125;100;167;0;155;0;0
2.91995;5.838;0;32;1.85546875;0;32.3125;194;10.400390625;71.40625;2.3125;100;167;0;155;0;0
3.0299465;5.838;0;32;1.875;0;32.3125;195;10.400390625;71.40625;2.3125;100;167;0;155;0;0
3.1299798;5.838;0;32;1.875;0;32.3125;194;10.400390625;71.40625;2.3125;100;167;0;155;0;0
3.2499491;5.838;0;32;1.8671875;0;32.3125;194;10.400390625;71.40625;2.3125;100;167;0;155;0;0
3.3599504;5.838;0;32;1.8515625;0;32.3125;194;10.400390625;71.40625;2.3125;100;167;0;160;0;0
3.4699754;5.838;0;32;1.86328125;0;32.34375;192;10.44921875;71.40625;2.3125;100;167;0;160;0;0
3.5799475;5.838;0;32;1.87109375;0;32.34375;194;10.44921875;71.40625;2.3125;100;167;0;160;0;0
3.6800403;5.838;0;32;1.8671875;0;32.34375;192;10.44921875;71.40625;2.28125;100;167;0;160;0;0
3.7999971;5.838;0;32;1.8671875;0;32.34375;192;10.44921875;71.40625;2.28125;100;167;0;160;0;0
3.9400223;5.838;0;32;1.875;0;32.34375;193;10.44921875;71.40625;2.28125;100;167;0;160;0;0
