sep=;
Time (s);C=>6 R=>software revision level/none;C=>6 R=>faults/none;C=>6 R=>controller temperature/deg C;C=>6 R=>vehicle speed/km/hr;C=>6 R=>motor temperature/deg C;C=>6 R=>motor current/Amps;C=>6 R=>motor rpm/RPM;C=>6 R=>motor speed/% of rated rpm;C=>6 R=>battery voltage/Volts;C=>6 R=>battery current/Amps;C=>6 R=>battery state of charge/%;C=>6 R=>battery power/Watts;C=>6 R=>faults2/none;C=>6 R=>motor input power/W;C=>6 R=>last fault2/none;C=>6 R=>user access level/none
0.0399419;5.838;0;39;2.5625;0;32.4375;266;14.4287109375;71.75;2.96875;100;215;0;202;0;0
0.309991;5.838;0;39;2.5625;0;32.4375;266;14.4287109375;71.75;2.96875;100;215;0;202;0;0
0.4401645;5.838;0;39;2.55859375;0;32.4375;266;14.4287109375;71.75;2.96875;100;215;0;202;0;0
0.5699723;5.838;0;39;2.55859375;0;32.4375;266;14.4287109375;71.75;2.96875;100;215;0;205;0;0
0.7099406;5.838;0;39;2.55859375;0;32.4375;266;14.4287109375;71.75;2.96875;100;215;0;205;0;0
0.8499405;5.838;0;39;2.55859375;0;32.34375;267;14.4287109375;71.75;2.96875;100;215;0;205;0;0
0.9801469;5.838;0;39;2.5546875;0;32.34375;266;14.3798828125;71.75;2.96875;100;215;0;205;0;0
1.1199412;5.838;0;39;2.56640625;0;32.34375;266;14.3798828125;71.75;2.96875;100;215;0;205;0;0
1.2500556;5.838;0;39;2.5546875;0;32.34375;266;14.3798828125;71.75;3;100;215;0;205;0;0
1.3800534;5.838;0;39;2.5546875;0;32.34375;266;14.3798828125;71.8125;3;100;215;0;205;0;0
1.5201343;5.838;0;39;2.5546875;0;32.34375;266;14.3798828125;71.8125;3;100;215;0;205;0;0
1.6501277;5.838;0;39;2.5546875;0;32.34375;266;14.3798828125;71.8125;3;100;215;0;205;0;0
1.8199626;5.838;0;39;2.55859375;0;32.34375;265;14.3798828125;71.8125;3;100;215;0;205;0;0
1.9201225;5.838;0;39;2.55859375;0;32.34375;266;14.3798828125;71.8125;3;100;215;0;205;0;0
2.0399601;5.838;0;39;2.55859375;0;32.34375;266;14.3798828125;71.8125;3;100;215;0;205;0;0
2.2001564;5.838;0;39;2.55859375;0;32.34375;267;14.3798828125;71.8125;3;100;215;0;205;0;0
2.3600055;5.838;0;39;2.5546875;0;32.34375;266;14.3798828125;71.8125;3;100;215;0;205;0;0
2.4999424;5.838;0;39;2.5546875;0;32.34375;266;14.3798828125;71.8125;3;100;215;0;205;0;0
2.6301495;5.838;0;39;2.55859375;0;32.34375;266;14.3798828125;71.8125;3;100;215;0;204;0;0
2.7601454;5.838;0;39;2.55859375;0;32.34375;266;14.3798828125;71.8125;3;100;215;0;204;0;0
2.8999999;5.838;0;39;2.55859375;0;32.34375;265;14.3798828125;71.8125;3;100;215;0;204;0;0
3.030149;5.838;0;39;2.5546875;0;32.375;265;14.3310546875;71.8125;3;100;215;0;204;0;0
3.1699837;5.838;0;39;2.54296875;0;32.375;265;14.3310546875;71.8125;3;100;215;0;204;0;0
3.3011517;5.838;0;39;2.55078125;0;32.375;265;14.3310546875;71.8125;2.96875;100;215;0;204;0;0
3.4311327;5.838;0;39;2.55078125;0;32.375;265;14.3310546875;71.8125;2.96875;100;215;0;204;0;0
3.5711371;5.838;0;39;2.55078125;0;32.375;265;14.3310546875;71.8125;2.96875;100;215;0;204;0;0
3.7311171;5.838;0;39;2.5546875;0;32.375;265;14.3310546875;71.8125;2.96875;100;215;0;204;0;0
3.8709238;5.838;0;39;2.54296875;0;32.375;266;14.3310546875;71.8125;2.96875;100;215;0;204;0;0
4.0009784;5.838;0;39;2.5546875;0;32.375;266;14.3310546875;71.8125;2.96875;100;215;0;204;0;0
4.1211019;5.838;0;39;2.5546875;0;32.375;265;14.3310546875;71.8125;2.96875;100;215;0;204;0;0
4.2711118;5.838;0;39;2.54296875;0;32.375;264;14.3310546875;71.8125;2.96875;100;215;0;204;0;0
4.4311068;5.838;0;39;2.55078125;0;32.375;265;14.3310546875;71.8125;2.96875;100;215;0;204;0;0
4.5809256;5.838;0;39;2.5390625;0;32.375;265;14.3310546875;71.8125;2.96875;100;215;0;204;0;0
4.7111287;5.838;0;39;2.55859375;0;32.375;265;14.3310546875;71.8125;2.96875;100;215;0;204;0;0
4.8511049;5.838;0;39;2.55859375;0;32.375;265;14.3310546875;71.8125;2.96875;100;214;0;204;0;0
