sep=;
Time (s);C=>6 R=>software revision level/none;C=>6 R=>faults/none;C=>6 R=>controller temperature/deg C;C=>6 R=>vehicle speed/km/hr;C=>6 R=>motor temperature/deg C;C=>6 R=>motor current/Amps;C=>6 R=>motor rpm/RPM;C=>6 R=>motor speed/% of rated rpm;C=>6 R=>battery voltage/Volts;C=>6 R=>battery current/Amps;C=>6 R=>battery state of charge/%;C=>6 R=>battery power/Watts;C=>6 R=>faults2/none;C=>6 R=>motor input power/W;C=>6 R=>last fault2/none;C=>6 R=>user access level/none
0.0201678;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
0.2099741;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
0.3400021;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
0.450007;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
0.5600841;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
0.669968;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
0.7801783;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
0.8899659;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
1.0001374;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
1.1099659;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
1.2201481;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
1.3299969;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
1.4401433;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
1.5501676;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
1.6899707;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
1.800007;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
1.9099667;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
2.0201722;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
2.1299627;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
2.2399625;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
2.3500707;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
2.4599998;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
2.5699642;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
2.6699658;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
2.7799671;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
2.8900031;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
3.0001907;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
3.1099633;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
3.215718;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
3.3257295;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
3.435741;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
3.5455545;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
3.6555295;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
3.7757435;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
3.8855198;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
4.0155197;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
4.1156209;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
4.2298407;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
4.3397993;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
4.4398027;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
4.5498011;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
4.6598378;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
4.7599145;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
4.8723686;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
4.9925971;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
5.1025988;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
5.2026299;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
5.3428049;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
5.4525987;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
5.5627791;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
5.6726316;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
5.7826343;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
5.8828077;5.838;0;31;0;0;0.09375;0;0;71.4375;0;100;0;0;0;0;0
5.992635;5.838;0;31;0;0;0.125;0;0;71.4375;0;100;0;0;0;0;0
6.1025955;5.838;0;31;0;0;0.125;0;0;71.4375;0;100;0;0;0;0;0
6.2125982;5.838;0;31;0;0;0.125;0;0;71.4375;0;100;0;0;0;0;0
6.3127844;5.838;0;31;0;0;0.125;0;0;71.4375;0;100;0;0;0;0;0
6.4428153;5.838;0;31;0;0;0.125;0;0;71.4375;0;100;0;0;0;0;0
6.5526871;5.838;0;31;0;0;0.125;0;0;71.4375;0;100;0;0;0;0;0
6.6627606;5.838;0;31;0;0;0.125;0;0;71.4375;0;100;0;0;0;0;0
6.7727809;5.838;0;31;0;0;0.125;0;0;71.4375;0;100;0;0;0;0;0
6.882633;5.838;0;31;0;0;0.125;0;0;71.4375;0;100;0;0;0;0;0
6.9927809;5.838;0;31;0;0;0.125;0;0;71.4375;0;100;0;0;0;0;0
7.1026356;5.838;0;31;0;0;0.125;0;0;71.4375;0;100;0;0;0;0;0
7.2225983;5.838;0;31;0;0;0.125;0;0;71.4375;0;100;0;0;0;0;0
7.3326353;5.838;0;31;0;0;0.125;0;0;71.4375;0;100;0;0;0;0;0
7.4428284;5.838;0;31;0;0;0.125;0;0;71.4375;0;100;0;0;0;0;0
7.5526;5.838;0;31;0;0;0.125;0;0;71.4375;0;100;0;0;0;0;0
7.6526406;5.838;0;31;0;0;0.125;0;0;71.4375;0;100;0;0;0;0;0
7.7628144;5.838;0;31;0;0;0.125;0;0;71.4375;0;100;0;0;0;0;0
