sep=;
Time (s);C=>6 R=>software revision level/none;C=>6 R=>faults/none;C=>6 R=>controller temperature/deg C;C=>6 R=>vehicle speed/km/hr;C=>6 R=>motor temperature/deg C;C=>6 R=>motor current/Amps;C=>6 R=>motor rpm/RPM;C=>6 R=>motor speed/% of rated rpm;C=>6 R=>battery voltage/Volts;C=>6 R=>battery current/Amps;C=>6 R=>battery state of charge/%;C=>6 R=>battery power/Watts;C=>6 R=>faults2/none;C=>6 R=>motor input power/W;C=>6 R=>last fault2/none;C=>6 R=>user access level/none
0.0200308;5.838;0;33;2.41796875;0;32.40625;251;13.5986328125;72.03125;2.8125;100;207;0;193;0;0
0.1299985;5.838;0;33;2.43359375;0;32.40625;251;13.5986328125;72.03125;2.8125;100;207;0;193;0;0
0.1500869;5.838;0;33;2.43359375;0;32.40625;251;13.5986328125;72.03125;2.8125;100;207;0;193;0;0
0.1801312;5.838;0;33;2.43359375;0;32.40625;251;13.5986328125;72.03125;2.8125;100;207;0;193;0;0
0.2200963;5.838;0;33;2.43359375;0;32.40625;252;13.5986328125;72.03125;2.8125;100;207;0;193;0;0
0.2500177;5.838;0;33;2.42578125;0;32.40625;252;13.5986328125;72.03125;2.8125;100;207;0;193;0;0
0.2701889;5.838;0;33;2.42578125;0;32.40625;252;13.5986328125;72.03125;2.8125;100;207;0;193;0;0
0.3201888;5.838;0;33;2.42578125;0;32.40625;252;13.5986328125;72.03125;2.8125;100;207;0;193;0;0
0.350008;5.838;0;33;2.41796875;0;32.40625;252;13.5986328125;72.03125;2.8125;100;207;0;193;0;0
0.3700676;5.838;0;33;2.41796875;0;32.40625;252;13.5986328125;72.03125;2.8125;100;207;0;193;0;0
0.4201761;5.838;0;33;2.41796875;0;32.40625;251;13.5986328125;72.03125;2.8125;100;207;0;193;0;0
0.4401748;5.838;0;33;2.41015625;0;32.40625;251;13.5986328125;72.03125;2.8125;100;207;0;193;0;0
0.4801816;5.838;0;33;2.41015625;0;32.40625;251;13.5986328125;72.03125;2.8125;100;207;0;193;0;0
0.5201872;5.838;0;33;2.41015625;0;32.40625;251;13.5986328125;72.03125;2.8125;100;207;0;193;0;0
0.5501837;5.838;0;33;2.41796875;0;32.40625;251;13.5986328125;72.03125;2.8125;100;207;0;193;0;0
0.5801977;5.838;0;33;2.41796875;0;32.40625;251;13.5986328125;72.03125;2.8125;100;207;0;193;0;0
0.6201859;5.838;0;33;2.41796875;0;32.40625;250;13.5986328125;72.03125;2.8125;100;207;0;193;0;0
0.6500063;5.838;0;33;2.421875;0;32.40625;250;13.5986328125;72.03125;2.8125;100;207;0;193;0;0
0.6701964;5.838;0;33;2.421875;0;32.40625;250;13.5986328125;72.03125;2.8125;100;207;0;193;0;0
0.7201908;5.838;0;33;2.421875;0;32.40625;252;13.5986328125;72.03125;2.8125;100;207;0;193;0;0
0.7501851;5.838;0;33;2.4140625;0;32.40625;252;13.5986328125;72.03125;2.8125;100;207;0;193;0;0
0.7801933;5.838;0;33;2.4140625;0;32.40625;252;13.5986328125;72.03125;2.8125;100;207;0;193;0;0
0.8202008;5.838;0;33;2.4140625;0;32.40625;251;13.5986328125;72.03125;2.8125;100;207;0;193;0;0
0.8501875;5.838;0;33;2.41796875;0;32.40625;251;13.5986328125;72.03125;2.8125;100;207;0;193;0;0
0.8799998;5.838;0;33;2.41796875;0;32.40625;251;13.5986328125;72.03125;2.8125;100;207;0;193;0;0
0.9002329;5.838;0;33;2.41796875;0;32.40625;251;13.5986328125;72.03125;2.8125;100;207;0;193;0;0
0.9300548;5.838;0;33;2.41796875;0;32.40625;251;13.5986328125;72.03125;2.8125;100;207;0;193;0;0
0.950037;5.838;0;33;2.4140625;0;32.40625;251;13.5986328125;72.03125;2.8125;100;207;0;193;0;0
0.9800309;5.838;0;33;2.4140625;0;32.40625;251;13.5986328125;72.03125;2.8125;100;207;0;193;0;0
1.0001842;5.838;0;33;2.4140625;0;32.40625;253;13.5986328125;72.03125;2.8125;100;207;0;193;0;0
1.0201847;5.838;0;33;2.4140625;0;32.40625;253;13.5986328125;72.03125;2.8125;100;207;0;193;0;0
1.0501699;5.838;0;33;2.4140625;0;32.40625;253;13.5986328125;72.03125;2.8125;100;207;0;193;0;0
1.0800373;5.838;0;33;2.4140625;0;32.40625;253;13.5986328125;72.03125;2.8125;100;207;0;193;0;0
1.1201892;5.838;0;33;2.4140625;0;32.40625;252;13.5986328125;72.03125;2.8125;100;207;0;193;0;0
1.1500526;5.838;0;33;2.41015625;0;32.40625;252;13.5986328125;72.03125;2.8125;100;207;0;193;0;0
1.1700633;5.838;0;33;2.41015625;0;32.40625;252;13.5986328125;72.03125;2.8125;100;207;0;193;0;0
1.200008;5.838;0;33;2.41015625;0;32.40625;252;13.5986328125;72.03125;2.8125;100;207;0;193;0;0
1.2200581;5.838;0;33;2.41015625;0;32.40625;252;13.5986328125;72.03125;2.8125;100;207;0;193;0;0
1.2499948;5.838;0;33;2.41015625;0;32.40625;252;13.5986328125;72.03125;2.8125;100;207;0;195;0;0
1.2699941;5.838;0;33;2.41015625;0;32.40625;252;13.5986328125;72.03125;2.8125;100;207;0;195;0;0
1.2901044;5.838;0;33;2.41796875;0;32.40625;252;13.5986328125;72.03125;2.8125;100;207;0;195;0;0
1.319994;5.838;0;33;2.41796875;0;32.40625;252;13.5986328125;72.03125;2.8125;100;207;0;195;0;0
1.34009;5.838;0;33;2.41796875;0;32.40625;252;13.5986328125;72.03125;2.8125;100;207;0;195;0;0
1.3600332;5.838;0;33;2.41796875;0;32.46875;252;13.5986328125;72.03125;2.8125;100;207;0;195;0;0
1.3900308;5.838;0;33;2.41796875;0;32.46875;251;13.5986328125;72.03125;2.8125;100;207;0;195;0;0
1.4100309;5.838;0;33;2.41796875;0;32.46875;251;13.5498046875;72.03125;2.8125;100;207;0;195;0;0
1.4299953;5.838;0;33;2.41796875;0;32.46875;252;13.5498046875;72.03125;2.8125;100;207;0;195;0;0
1.4600684;5.838;0;33;2.40625;0;32.46875;252;13.5498046875;72.03125;2.8125;100;207;0;195;0;0
1.4799974;5.838;0;33;2.40625;0;32.46875;252;13.5498046875;72.03125;2.8125;100;207;0;195;0;0
1.5001835;5.838;0;33;2.40625;0;32.46875;252;13.5498046875;72.03125;2.8125;100;207;0;195;0;0
1.5300312;5.838;0;33;2.40625;0;32.46875;252;13.5498046875;72.03125;2.78125;100;207;0;195;0;0
1.5501753;5.838;0;33;2.40625;0;32.46875;253;13.5498046875;72.03125;2.78125;100;207;0;195;0;0
1.5800325;5.838;0;33;2.40625;0;32.46875;253;13.5498046875;72.03125;2.78125;100;207;0;195;0;0
1.5999995;5.838;0;33;2.40625;0;32.46875;253;13.5498046875;72.03125;2.78125;100;207;0;195;0;0
1.6199966;5.838;0;33;2.4140625;0;32.46875;253;13.5498046875;72.03125;2.78125;100;207;0;195;0;0
1.6515561;5.838;0;33;2.4140625;0;32.46875;253;13.5498046875;72.03125;2.78125;100;207;0;195;0;0
1.6741009;5.838;0;33;2.4140625;0;32.46875;253;13.5498046875;72.03125;2.78125;100;207;0;195;0;0
1.6991572;5.838;0;33;2.4140625;0;32.46875;253;13.5498046875;72.03125;2.78125;100;207;0;195;0;0
1.7387712;5.838;0;33;2.4140625;0;32.46875;252;13.5498046875;72.03125;2.78125;100;207;0;195;0;0
1.7633848;5.838;0;33;2.41796875;0;32.46875;252;13.5498046875;72.03125;2.78125;100;207;0;195;0;0
1.78884;5.838;0;33;2.41796875;0;32.46875;252;13.5498046875;72.03125;2.78125;100;207;0;195;0;0
1.8243063;5.838;0;33;2.41796875;0;32.46875;251;13.5498046875;72.03125;2.78125;100;207;0;195;0;0
1.8492145;5.838;0;33;2.4140625;0;32.46875;251;13.5498046875;72.03125;2.78125;100;207;0;195;0;0
1.8739028;5.838;0;33;2.4140625;0;32.46875;251;13.5498046875;72.03125;2.78125;100;207;0;195;0;0
1.9129724;5.838;0;33;2.4140625;0;32.46875;252;13.5498046875;72.03125;2.78125;100;207;0;195;0;0
1.9472658;5.838;0;33;2.41015625;0;32.46875;252;13.5498046875;72.03125;2.78125;100;207;0;195;0;0
1.9772871;5.838;0;33;2.41015625;0;32.46875;252;13.5498046875;72.03125;2.78125;100;207;0;195;0;0
2.0271616;5.838;0;33;2.41015625;0;32.46875;252;13.5498046875;72.03125;2.78125;100;207;0;195;0;0
2.0471409;5.838;0;33;2.41796875;0;32.46875;252;13.5498046875;72.03125;2.78125;100;207;0;195;0;0
2.0771392;5.838;0;33;2.41796875;0;32.46875;252;13.5498046875;72.03125;2.78125;100;207;0;195;0;0
2.0972775;5.838;0;33;2.41796875;0;32.46875;252;13.5498046875;72.03125;2.78125;100;207;0;195;0;0
2.1271052;5.838;0;33;2.41796875;0;32.46875;252;13.5498046875;72.03125;2.78125;100;207;0;195;0;0
2.1672783;5.838;0;33;2.41796875;0;32.46875;253;13.5498046875;72.03125;2.78125;100;207;0;195;0;0
2.1972799;5.838;0;33;2.4140625;0;32.46875;253;13.5498046875;72.03125;2.78125;100;207;0;195;0;0
2.2271108;5.838;0;33;2.4140625;0;32.46875;253;13.5498046875;72.03125;2.78125;100;207;0;195;0;0
2.2772748;5.838;0;33;2.4140625;0;32.46875;252;13.5498046875;72.03125;2.78125;100;207;0;195;0;0
2.2972793;5.838;0;33;2.421875;0;32.46875;252;13.5498046875;72.03125;2.78125;100;207;0;195;0;0
2.3272769;5.838;0;33;2.421875;0;32.46875;252;13.5498046875;72.03125;2.78125;100;207;0;195;0;0
2.3772928;5.838;0;33;2.421875;0;32.46875;251;13.5498046875;72.03125;2.78125;100;207;0;195;0;0
2.4072948;5.838;0;33;2.4140625;0;32.46875;251;13.5498046875;72.03125;2.78125;100;207;0;195;0;0
2.4372928;5.838;0;33;2.4140625;0;32.46875;251;13.5498046875;72.03125;2.78125;100;207;0;195;0;0
